AREA,AREA_NAME,MSA_totalemployment,teleworkable_emp,teleworkable_wage
27980,"Kahului-Wailuku-Lahaina, HI",67370,.2265799,.25643194
28020,"Kalamazoo-Portage, MI",127490,.32143331,.38785452
28100,"Kankakee, IL",35490,.27724481,.29689351
28140,"Kansas City, MO-KS",1047760,.39479804,.48864263
28420,"Kennewick-Richland, WA",101930,.31663498,.35940728
28660,"Killeen-Temple, TX",122150,.36031473,.38821179
28700,"Kingsport-Bristol-Bristol, TN-VA",103410,.28158811,.34237808
28740,"Kingston, NY",53250,.33760926,.35644352
28940,"Knoxville, TN",370850,.34945592,.42547292
29020,"Kokomo, IN",25800,.23751345,.26009741
29100,"La Crosse-Onalaska, WI-MN",65560,.32613766,.37473899
29180,"Lafayette, LA",182560,.30385208,.36816373
29200,"Lafayette-West Lafayette, IN",75440,.29385796,.34215236
29340,"Lake Charles, LA",92630,.25688434,.32198793
29420,"Lake Havasu City-Kingman, AZ",42510,.27205974,.30285826
29460,"Lakeland-Winter Haven, FL",200150,.31366169,.36554962
29540,"Lancaster, PA",232700,.29463229,.35845444
29620,"Lansing-East Lansing, MI",190310,.40994588,.49284297
29700,"Laredo, TX",89400,.33681896,.37159777
29740,"Las Cruces, NM",60990,.34512526,.40245411
29820,"Las Vegas-Henderson-Paradise, NV",967550,.30407009,.37342075
29940,"Lawrence, KS",40310,.350474,.40940413
30020,"Lawton, OK",35660,.34411854,.38242462
30140,"Lebanon, PA",41790,.25906166,.28456482
30300,"Lewiston, ID-WA",19850,.27285117,.27638942
30460,"Lexington-Fayette, KY",252570,.30464965,.36847436
30620,"Lima, OH",42290,.23502064,.25246018
30700,"Lincoln, NE",165680,.39048916,.46179909
30780,"Little Rock-North Little Rock-Conway, AR",332320,.36560059,.44196075
30860,"Logan, UT-ID",49170,.3838523,.41451836
30980,"Longview, TX",81000,.31459692,.36577541
31020,"Longview, WA",30410,.27162057,.28629851
31080,"Los Angeles-Long Beach-Anaheim, CA",6056730,.39088523,.50535589
31140,"Louisville/Jefferson County, KY-IN",622470,.33010104,.41375494
31180,"Lubbock, TX",129140,.33995634,.39429203
31340,"Lynchburg, VA",88470,.30855089,.37984034
31420,"Macon, GA",86100,.33681262,.42105669
31460,"Madera, CA",34510,.23706755,.29431245
31540,"Madison, WI",372820,.42545289,.512532
31740,"Manhattan, KS",29460,.35826859,.41768038
31860,"Mankato-North Mankato, MN",44390,.30022326,.35807416
31900,"Mansfield, OH",41430,.24868755,.28929344
32420,"Mayaguez, PR",22440,.32028919,.31165686
32580,"McAllen-Edinburg-Mission, TX",237600,.29697475,.30698913
32780,"Medford, OR",76710,.31357661,.35080349
32820,"Memphis, TN-MS-AR",600250,.31813696,.3973625
32900,"Merced, CA",60940,.29579562,.33159253
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2546000,.3670482,.46962363
33140,"Michigan City-La Porte, IN",32610,.2581183,.30922475
33220,"Midland, MI",23210,.36641955,.47104606
33260,"Midland, TX",90030,.31079128,.45006192
33340,"Milwaukee-Waukesha-West Allis, WI",827340,.36482447,.46419871
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1939710,.41136688,.51238036
33540,"Missoula, MT",52240,.35088956,.39807907
33660,"Mobile, AL",155020,.30248636,.39268759
33700,"Modesto, CA",170070,.30633941,.3433843
33740,"Monroe, LA",67320,.30708012,.36061755
33780,"Monroe, MI",27950,.31968281,.39080977
33860,"Montgomery, AL",151270,.33606979,.43529585
34060,"Morgantown, WV",52420,.29491743,.39385688
34100,"Morristown, TN",35340,.23747069,.25743532
34580,"Mount Vernon-Anacortes, WA",41580,.28708127,.30309933
34620,"Muncie, IN",35440,.32223454,.39662257
34740,"Muskegon, MI",52330,.23267305,.28115052
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",152260,.23949762,.29040796
34900,"Napa, CA",66670,.26811585,.36613354
34940,"Naples-Immokalee-Marco Island, FL",132940,.2681154,.3334007
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",938040,.36409286,.45780593
35100,"New Bern, NC",36480,.28348973,.34176874
35380,"New Orleans-Metairie, LA",527490,.32029042,.40050876
35620,"New York-Newark-Jersey City, NY-NJ-PA",9467660,.41956478,.53913975
35660,"Niles-Benton Harbor, MI",50610,.2792564,.34913474
35840,"North Port-Sarasota-Bradenton, FL",277700,.30832794,.39036193
36100,"Ocala, FL",89190,.24289994,.31606284
36140,"Ocean City, NJ",33440,.25470829,.28466079
36220,"Odessa, TX",65710,.26048112,.3278093
36260,"Ogden-Clearfield, UT",242740,.35278675,.4294838
36420,"Oklahoma City, OK",603740,.37340865,.46068013
36500,"Olympia-Tumwater, WA",102090,.44053987,.51748711
36540,"Omaha-Council Bluffs, NE-IA",477580,.38899702,.4640663
36740,"Orlando-Kissimmee-Sanford, FL",1196090,.3507984,.44835913
36780,"Oshkosh-Neenah, WI",81850,.31724948,.38627639
36980,"Owensboro, KY",44410,.25425699,.27409276
37100,"Oxnard-Thousand Oaks-Ventura, CA",296640,.36002243,.45664853
37340,"Palm Bay-Melbourne-Titusville, FL",201380,.36454308,.46937463
37460,"Panama City, FL",74000,.31020617,.37866318
37620,"Parkersburg-Vienna, WV",28530,.30350935,.4280656
37860,"Pensacola-Ferry Pass-Brent, FL",162280,.33499542,.39884046
37900,"Peoria, IL",156930,.35138768,.4142206
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2828940,.40106103,.49999312
38060,"Phoenix-Mesa-Scottsdale, AZ",2017710,.38884294,.48088622
38220,"Pine Bluff, AR",22860,.27546775,.28314459
38300,"Pittsburgh, PA",1126480,.36815506,.45329663
38540,"Pocatello, ID",23970,.2983416,.35230783
38660,"Ponce, PR",51450,.31559691,.31274661
38900,"Portland-Vancouver-Hillsboro, OR-WA",1173040,.39116162,.47749302
38940,"Port St. Lucie, FL",131870,.32723862,.38467833
39140,"Prescott, AZ",55690,.29817891,.33618376
39340,"Provo-Orem, UT",223420,.42573538,.53445166
39380,"Pueblo, CO",50480,.27505085,.29389712
39460,"Punta Gorda, FL",37950,.22786549,.27741969
39540,"Racine, WI",69360,.26775187,.34069699
39580,"Raleigh, NC",611340,.41300467,.54099578
39660,"Rapid City, SD",59530,.28334743,.32253391
39740,"Reading, PA",162160,.31614298,.37022027
39820,"Redding, CA",57120,.31896758,.35356098
39900,"Reno, NV",223550,.30929998,.38923916
40060,"Richmond, VA",620210,.38674715,.50246274
40140,"Riverside-San Bernardino-Ontario, CA",1462130,.30143875,.3496232
40220,"Roanoke, VA",144140,.31594259,.37510112
40340,"Rochester, MN",74980,.29439834,.34877658
40380,"Rochester, NY",502760,.39265522,.45416301
40420,"Rockford, IL",136600,.29251796,.32495639
40580,"Rocky Mount, NC",47110,.25984055,.30102256
40660,"Rome, GA",28560,.27734238,.33074236
40900,"Sacramento--Roseville--Arden-Arcade, CA",957880,.40342751,.48927313
40980,"Saginaw, MI",71210,.27311924,.32497358
41060,"St. Cloud, MN",94580,.31593502,.3506667
41100,"St. George, UT",54000,.28970098,.35072196
41140,"St. Joseph, MO-KS",40980,.30387238,.33971831
41180,"St. Louis, MO-IL",1341020,.37592381,.46641737
41420,"Salem, OR",160400,.35163167,.40096799
41500,"Salinas, CA",164570,.25850368,.33795309
41540,"Salisbury, MD-DE",150190,.26163441,.32054874
41620,"Salt Lake City, UT",688330,.43339336,.52558041
41660,"San Angelo, TX",36820,.33316553,.38073868
41700,"San Antonio-New Braunfels, TX",984060,.37705666,.4631488
41740,"San Diego-Carlsbad, CA",1427600,.39516366,.50030339
41860,"San Francisco-Oakland-Hayward, CA",2372810,.44755739,.5840202
41900,"San German, PR",12760,.2310167,.20972748
41940,"San Jose-Sunnyvale-Santa Clara, CA",1066560,.51112145,.66457206
41980,"San Juan-Carolina-Caguas, PR",621640,.37919334,.4442105
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",105650,.3068558,.36732909
42100,"Santa Cruz-Watsonville, CA",85410,.34384391,.43725133
42140,"Santa Fe, NM",52840,.39852861,.49008697
42200,"Santa Maria-Santa Barbara, CA",170680,.35734001,.45858055
42220,"Santa Rosa, CA",193320,.33938694,.42393923
42340,"Savannah, GA",156110,.3030524,.36976883
42540,"Scranton--Wilkes-Barre--Hazleton, PA",245680,.30106217,.35706991
42660,"Seattle-Tacoma-Bellevue, WA",1928400,.42281505,.53369951
42680,"Sebastian-Vero Beach, FL",42300,.29237634,.36039153
42700,"Sebring, FL",19440,.28824487,.29403579
43100,"Sheboygan, WI",52010,.27550825,.35662973
43300,"Sherman-Denison, TX",37790,.29935434,.3038756
43340,"Shreveport-Bossier City, LA",161110,.29716572,.3393575
43420,"Sierra Vista-Douglas, AZ",25990,.41075763,.49797595
43580,"Sioux City, IA-NE-SD",77600,.27335745,.32779449
43620,"Sioux Falls, SD",146340,.34037104,.40788794
43780,"South Bend-Mishawaka, IN-MI",119830,.32677719,.38517532
43900,"Spartanburg, SC",143600,.27095395,.32709742
44060,"Spokane-Spokane Valley, WA",224070,.34154212,.38370025
44100,"Springfield, IL",88770,.42916358,.49849075
44180,"Springfield, MO",190880,.33333564,.38588983
44220,"Springfield, OH",38860,.29054794,.33243307
44300,"State College, PA",54560,.36125666,.42701855
44420,"Staunton-Waynesboro, VA",40000,.28577051,.32333127
44700,"Stockton-Lodi, CA",229810,.28545684,.32741696
44940,"Sumter, SC",27680,.27269158,.33070678
45060,"Syracuse, NY",289860,.38042909,.4399682
45220,"Tallahassee, FL",152200,.43416938,.49343306
45300,"Tampa-St. Petersburg-Clearwater, FL",1279250,.39938056,.49317366
45460,"Terre Haute, IN",58910,.26568964,.2922712
45500,"Texarkana, TX-AR",46840,.29689381,.31172878
45540,"The Villages, FL",21890,.19269684,.27297512
45780,"Toledo, OH",279350,.30763268,.35740691
45820,"Topeka, KS",98820,.37747237,.44099402
45940,"Trenton, NJ",211230,.49445292,.60267299
46060,"Tucson, AZ",353860,.37286454,.4464902
46140,"Tulsa, OK",424510,.35133934,.43774456
46220,"Tuscaloosa, AL",89830,.26611057,.30648509
46340,"Tyler, TX",89360,.32635415,.36476904
46520,"Urban Honolulu, HI",443000,.35426629,.39880997
46540,"Utica-Rome, NY",110400,.3710514,.40434927
46660,"Valdosta, GA",40620,.28307438,.34262639
46700,"Vallejo-Fairfield, CA",123550,.30010083,.35476646
47020,"Victoria, TX",31050,.31288674,.33172381
47220,"Vineland-Bridgeton, NJ",49500,.27818686,.2830539
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",733470,.34641182,.42769808
47300,"Visalia-Porterville, CA",142890,.26936284,.32376823
47380,"Waco, TX",100150,.3473382,.40433186
47460,"Walla Walla, WA",17610,.3482103,.39794746
47580,"Warner Robins, GA",59810,.35000509,.44824097
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3108930,.49770674,.64398098
47940,"Waterloo-Cedar Falls, IA",73970,.30636242,.34740162
48060,"Watertown-Fort Drum, NY",33260,.31780127,.3408525
48140,"Wausau, WI",61940,.30669415,.36500844
48260,"Weirton-Steubenville, WV-OH",27440,.25154513,.27379438
48300,"Wenatchee, WA",41100,.24785352,.26920587
48540,"Wheeling, WV-OH",53610,.28237721,.31416178
48620,"Wichita, KS",275760,.33535591,.3976042
48660,"Wichita Falls, TX",46270,.31768787,.35766387
48700,"Williamsport, PA",43010,.29523155,.35392398
48900,"Wilmington, NC",117980,.31352213,.40209645
49020,"Winchester, VA-WV",47230,.27867803,.34275076
49180,"Winston-Salem, NC",252140,.30600369,.38887295
49420,"Yakima, WA",82530,.29090744,.30790058
49620,"York-Hanover, PA",170100,.29218242,.36305711
49660,"Youngstown-Warren-Boardman, OH-PA",204540,.28898236,.32354
49700,"Yuba City, CA",35330,.31410834,.35860741
49740,"Yuma, AZ",51140,.28302735,.31503668
70750,"Bangor, ME",55550,.31269535,.34144187
70900,"Barnstable Town, MA",95120,.31125712,.35548064
71650,"Boston-Cambridge-Nashua, MA-NH",2725820,.44353771,.55328661
71950,"Bridgeport-Stamford-Norwalk, CT",394580,.4395192,.58285922
72400,"Burlington-South Burlington, VT",109430,.39019921,.46076444
72850,"Danbury, CT",67560,.36447257,.43969449
73050,"Dover-Durham, NH-ME",43020,.37968665,.43045726
73450,"Hartford-West Hartford-East Hartford, CT",561350,.43547434,.53337711
74500,"Leominster-Gardner, MA",45800,.30467892,.34571725
74650,"Lewiston-Auburn, ME",40780,.34115347,.36540416
74950,"Manchester, NH",105210,.39278284,.48086736
75550,"New Bedford, MA",56610,.30743423,.35313806
75700,"New Haven, CT",261000,.37195748,.44189078
76450,"Norwich-New London-Westerly, CT-RI",101290,.32455757,.39221317
76600,"Pittsfield, MA",31710,.32932425,.40501913
76750,"Portland-South Portland, ME",197280,.38491789,.48178625
76900,"Portsmouth, NH-ME",86460,.38581532,.49350968
77200,"Providence-Warwick, RI-MA",567510,.36166343,.44020227
78100,"Springfield, MA-CT",316380,.35325184,.40119877
78700,"Waterbury, CT",59650,.32638958,.35335523
79600,"Worcester, MA-CT",275540,.36986655,.42283213
